Invoice ID,City,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment
INV-1000,Mandalay,Female,Health,91.04,6,27.31,573.55,2024-01-01,Cash
INV-1001,Yangon,Female,Clothing,66.98,6,20.09,421.97,2024-01-02,Ewallet
INV-1002,Mandalay,Female,Electronics,40.51,5,10.13,212.68,2024-01-03,Cash
INV-1003,Mandalay,Male,Health,41.43,1,2.07,43.5,2024-01-04,Ewallet
INV-1004,Yangon,Male,Health,75.34,8,30.14,632.86,2024-01-05,Credit card
INV-1005,Yangon,Male,Health,90.74,5,22.68,476.38,2024-01-06,Cash
INV-1006,Mandalay,Male,Clothing,89.84,5,22.46,471.66,2024-01-07,Ewallet
INV-1007,Naypyitaw,Female,Electronics,80.19,7,28.07,589.4,2024-01-08,Ewallet
INV-1008,Mandalay,Male,Health,67.78,4,13.56,284.68,2024-01-09,Credit card
INV-1009,Mandalay,Male,Health,17.57,6,5.27,110.69,2024-01-10,Cash
INV-1010,Mandalay,Male,Health,24.55,4,4.91,103.11,2024-01-11,Cash
INV-1011,Mandalay,Male,Clothing,90.87,3,13.63,286.24,2024-01-12,Ewallet
INV-1012,Yangon,Male,Clothing,64.58,7,22.6,474.66,2024-01-13,Cash
INV-1013,Mandalay,Female,Electronics,10.83,8,4.33,90.97,2024-01-14,Ewallet
INV-1014,Naypyitaw,Male,Clothing,19.13,4,3.83,80.35,2024-01-15,Cash
INV-1015,Yangon,Female,Health,69.72,2,6.97,146.41,2024-01-16,Ewallet
INV-1016,Naypyitaw,Male,Electronics,10.46,3,1.57,32.95,2024-01-17,Cash
INV-1017,Naypyitaw,Female,Health,24.47,1,1.22,25.69,2024-01-18,Credit card
INV-1018,Naypyitaw,Male,Health,59.39,8,23.76,498.88,2024-01-19,Cash
INV-1019,Naypyitaw,Male,Clothing,72.27,3,10.84,227.65,2024-01-20,Cash
INV-1020,Yangon,Female,Electronics,68.68,7,24.04,504.8,2024-01-21,Credit card
INV-1021,Yangon,Female,Clothing,30.18,5,7.55,158.45,2024-01-22,Cash
INV-1022,Naypyitaw,Female,Clothing,74.1,5,18.53,389.03,2024-01-23,Credit card
INV-1023,Naypyitaw,Male,Electronics,31.35,7,10.97,230.42,2024-01-24,Cash
INV-1024,Yangon,Female,Health,39.29,9,17.68,371.29,2024-01-25,Ewallet
